sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1
club-moss_0.001_1x_1	0.0	0.0	0.0	0.0	0.002176124487055707	0.001362443635091813	0.0005947082162086371	0.0	0.0035993216413085804	0.002924460706399232	0.0020672851705167885	0.001877910196045107	0.0052906348247571755	0.00442139211356245	0.003630812020146208	0.0032841573394810763	0.006971079062577745	0.00592988281127671	0.005091036519424553	0.0050121278589702525	0.008390071885028836	0.007398371524576091	0.006495092149987058	0.006220713693073729	0.016672495738470062	0.01581837931263005	0.014552800335351524	0.01434551522932057	0.00041653046842591565	0.0	0.0	0.0
club-moss_0.001_2x_1	0.0	0.0	0.0	0.0	0.001633200268066339	0.0006667156275491092	0.0	0.0	0.003115900991828602	0.00226069911062968	0.0013328284891556245	0.0011938537148705524	0.004886821865683879	0.003783566700532826	0.0029991267021484812	0.002797667433789535	0.006416281516813476	0.0052486233728210804	0.004402284358372393	0.004438255255168203	0.007946449702652304	0.006979127384523211	0.005848158570565256	0.005874316257170909	0.016621874730110613	0.015174069622794946	0.014240019586523262	0.014014642337563768	0.0	0.0	0.0	0.0
club-moss_0.001_4x_1	0.0	0.0	0.0	0.0	0.0008125723211196465	0.0	0.0	0.0	0.002463930267673304	0.001462487910853005	0.000622443739763543	0.0009206074281977283	0.0041982911493238795	0.0029921689889220358	0.0022606322393811844	0.0024856038686689513	0.005861696475971106	0.004557375010964931	0.0038439778238524114	0.004390982007638008	0.0073626444697737535	0.006220280926732162	0.005283180549326629	0.0058738255319982875	0.0160945759313553	0.014691163188730148	0.013927651912498845	0.014222775036960506	0.0	0.0	0.0	0.0
club-moss_0.001_8x_1	0.0	0.0	0.0	0.0	0.0006301599791985642	0.0	0.0	0.0	0.0021952764129495755	0.0013252634902189712	0.0007409904765412173	0.0013992575964344631	0.0038907883845928073	0.002880229367330588	0.0023201179053835706	0.0030804053495995525	0.005723156043133937	0.004407929613432428	0.003892099454681216	0.005221465980640543	0.0072109983166013325	0.006032788143863766	0.005275260107862867	0.006680496769425506	0.015800923891621757	0.014545828852779944	0.014105334721604145	0.014992405100207952	0.0	0.0	0.0	0.0
club-moss_0.002_1x_1	0.0021758847813845026	0.001689098179935063	0.0008369271814235081	0.0006352465970505573	0.0	0.0	0.0	0.0	0.004652036026958519	0.0037953156344952654	0.0030319060350313303	0.0027805900180643476	0.006051253742021832	0.00522200206103672	0.004600577025623509	0.004176271054388912	0.007823035774906612	0.006736991818389854	0.006023430038730744	0.005803367044454988	0.009368851692091944	0.008545736675595482	0.007487662317243289	0.007302195740757607	0.017565463414734653	0.016367434428090324	0.015447171992937058	0.01506513484747572	0.0014044469579761727	0.0009741717655937927	0.0	0.0
club-moss_0.002_2x_1	0.0013181397240242295	0.0006672264269736648	0.0	0.0	0.0	0.0	0.0	0.0	0.0037459150877644258	0.0029570456821227204	0.002049150938742796	0.001918564688313233	0.00553547533249813	0.0044386831637333955	0.003678243691817146	0.003490146276901831	0.00700182423468559	0.006017920207789816	0.005164191531630809	0.005228705094696351	0.008584169373193883	0.007598967205307532	0.006556436877315389	0.006597454571778747	0.017119382101235644	0.015888301913627632	0.015006085667204582	0.01472306682864871	0.0004985415652337664	0.0	0.0	0.0
club-moss_0.002_4x_1	0.0005771087910916898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031414987309872217	0.0022332941896475605	0.0014276081248790061	0.0015988801103610836	0.0049130664869133965	0.0037888847589609993	0.003073186811063314	0.0032051506226939116	0.006514162599866499	0.005316091658729548	0.004572881062371096	0.005059478825613994	0.008112817227263574	0.0069618117105110814	0.005992264631971458	0.006473850340893934	0.016896660583598132	0.015418823959912361	0.014551423542733172	0.01476555706355923	0.0	0.0	0.0	0.0
club-moss_0.002_8x_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028915550840008645	0.0020542973108746416	0.001495730261080738	0.0022249428934016536	0.004635158474853858	0.0036574668325929384	0.0030845747228049466	0.004034829741923894	0.0063139334915684586	0.005086454993545664	0.004642507291182672	0.006020769362971508	0.007832401956022736	0.00676036017053457	0.006064886159197642	0.007514623142354825	0.016693966666216472	0.015350670710331579	0.014807046632051143	0.015873306565613903	0.0	0.0	0.0	0.0
club-moss_0.004_1x_1	0.003602163198559249	0.0032244135963117	0.0025395503048399326	0.0022152330236806022	0.004656170142730283	0.0038729332780742635	0.0032387963084820116	0.002915079139833878	0.0	0.0	0.0	0.0	0.00781335271001193	0.006891773482640362	0.006195899633330603	0.005794449572891706	0.00928521476633839	0.008364597130552603	0.007548963771611452	0.007573760879182154	0.010623350080509507	0.009962862409707412	0.008972953598502963	0.00897039225896954	0.018671083403683	0.017873447953819063	0.01692841444060582	0.016652407816717688	0.0028625908085885827	0.002552797063886483	0.0018677305691612788	0.0016159933532171073
club-moss_0.004_2x_1	0.002833301326580632	0.0022648905920124363	0.0014601286460136382	0.0012963393358835257	0.003678006049231641	0.0029602734774807115	0.0022305841144241753	0.0020078755630741152	0.0	0.0	0.0	0.0	0.006895824663887636	0.0059698741716960185	0.005280617813370855	0.005019120686370901	0.008469258754164544	0.007461907565974101	0.006740295746763712	0.006836545827472703	0.010119970586855346	0.009118733990122117	0.008158877931948463	0.008166340292315286	0.018441568991620437	0.017244825496717117	0.01642498784037895	0.01610523929052514	0.002061744754046088	0.0015883707471501896	0.0007569865540496053	0.0005790149782995392
